id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock,manual_allowed
,Acier III Ø 10 (0.617 kg/m),true,,1,,,,,Acier III,true,m,,true
,Acier III Ø 12 (0.888 kg/m),true,,1,,,,,Acier III,true,m,,true
,Acier III Ø 14 (1.210 kg/m),true,,1,,,,,Acier III,true,m,,true
,Acier III Ø 16 (1.580 kg/m),true,,1,,,,,Acier III,true,m,,true
,Acier III Ø 18 (2.000 kg/m),true,,1,,,,,Acier III,true,m,,true
,Acier III Ø 20 (2.470 kg/m),true,,1,,,,,Acier III,true,m,,true
,Acier III Ø 8 (0.222 kg/m),true,,1,,,,,Acier III,true,m,,true
,Adesilex PG1 emb. 2 kg,true,,16.64,,,,adesilex-pg1.jpg,Adesilex,true,kg,,false
,Adesilex PG4 emb. 6 kg,true,,13.42,,,,adesilex-pg4.jpg,Adesilex,true,kg,,false
,Ancre plastique l. 200 mm,true,,0.31,,,,,HS,true,pce,,false
,Anneau ciment Ø 100 cm,true,,0,,,,,Anneau ciment,true,pce,,false
,Anneau ciment Ø 30 cm,true,,22,,,,,Anneau ciment,true,pce,,false
,Anneau ciment Ø 40 cm,true,,33.88,,,,,Anneau ciment,true,pce,,false
,Anneau ciment Ø 50 cm,true,,41.8,,,,,Anneau ciment,true,pce,,false
,Anneau ciment Ø 60 cm,true,,51.04,,,,,Anneau ciment,true,pce,,false
,Anneau ciment Ø 80 cm,true,,77.44,,,,,Anneau ciment,true,pce,,false
,armat. griprip 8.5/100 cm,true,,3.45,,,,,Briques et linteaux,true,m,,false
,Attache d'arrêt 15 cm,true,,2,,,,,Attache d'arrêt,true,pce,,true
,Attache d'arrêt 18 cm,true,,2.05,,,,,Attache d'arrêt,true,pce,,true
,Attache d'arrêt 20 cm,true,,2.05,,,,,Attache d'arrêt,true,pce,,true
,Attache d'arrêt 25 cm,true,,2.1,,,,,Attache d'arrêt,true,pce,,true
,Attache d'arrêt 30 cm,true,,2.15,,,,,Attache d'arrêt,true,pce,,true
,Baguette traingulaire 15x15mm,true,,0.4,,,,baguette-triangulaire.jpg,Bois,true,pce,,true
,Baguette traingulaire 20x20mm,true,,0.64,,,,baguette-triangulaire.jpg,Bois,true,pce,,true
,banderive,true,,0.4,,,,,Isolation,true,m,,false
,"Barra 57, sac de 25 kg",true,,5.34,,,,,Liants / Mortiers,true,kg,,false
,Barrafil lent sac de 8 kg,true,,27.88,,,,barrafil-lent.JPG,Liants / Mortiers,true,sac,,false
,"Barrapren, emb. 30 kg",true,,2.16,,,,barrapren.jpg,Divers,true,kg,,false
,Beton CP 150,true,,118.11,,,,,Mortiers et bétons frais,true,m3,,false
,Beton CP 150 à 300,true,,11,,,,,Mortiers et bétons frais,true,br,,false
,Beton CP 200,true,,128.34,,,,,Mortiers et bétons frais,true,m3,,false
,Beton CP 250,true,,138.57,,,,,Mortiers et bétons frais,true,m3,,false
,Beton CP 300,true,,148.8,,,,,Mortiers et bétons frais,true,m3,,false
,Betonamit,true,,21.3,,,,,Liants / Mortiers,true,kg,,false
,Bordure ciment chanfr. 2c 8x25x100 cm,true,,9,,,,,Bordure,true,pce,,false
,Bordure ciment chanfr. 2c 8x25x50xcm,true,,11.12,,,,,Bordure,true,pce,,false
,Bordure ciment chanfr. 3c 8x50x100xcm,true,,31.92,,,,,Bordure,true,pce,,false
,Bordure rb 15x25/10x12x100 cm,true,,23.27,,,,,Bordure,true,pce,,false
,Bordure rb 15x25/10x12x50 cm,true,,15.08,,,,,Bordure,true,pce,,false
,Bouchon ciment Ø 30 cm,true,,37.1,,,,,Bouchon ciment,true,pce,,false
,Bouchon ciment Ø 40 cm,true,,46.2,,,,,Bouchon ciment,true,pce,,false
,Bouchon ciment Ø 50 cm,true,,64.4,,,,,Bouchon ciment,true,pce,,false
,Bouchon ciment Ø 60 cm,true,,84.7,,,,,Bouchon ciment,true,pce,,false
,Bouchon ciment Ø 80 cm,true,,0,,,,,Bouchon ciment,true,pce,,false
,Bouchon de fermeture,true,,0.05,,,,,Divers,true,pce,,false
,Bouchon de sortie d'abri Ø 60 cm,true,,64.8,,,,,Produits ciment,true,pce,,false
,Bouchon PVC Ø 100 cm,true,,0.74,,,,,Bouchon PVC,true,pce,,false
,Bouchon PVC Ø 125 cm,true,,0.93,,,,,Bouchon PVC,true,pce,,false
,Bouchon PVC Ø 150 cm,true,,1.09,,,,,Bouchon PVC,true,pce,,false
,Bouchon PVC Ø 200 cm,true,,2.05,,,,,Bouchon PVC,true,pce,,false
,Brique ciment pleine DB 12.5,true,,1.33,,,,,Brique ciment,true,pce,,false
,Brique ciment pleine DB 15,true,,1.53,,,,,Brique ciment,true,pce,,false
,Brique ciment pleine DB 17.5,true,,1.86,,,,,Brique ciment,true,pce,,false
,"Brique ciment RAPID 10, pce",true,,1.67,,,,,Brique ciment,true,pce,,false
,"Brique ciment RAPID 10, pal",true,,16.74,,,,,Brique ciment,true,pal,,false
,"Brique ciment RAPID 12.5, pce",true,,1.7,,,,,Brique ciment,true,pce,,false
,"Brique ciment RAPID 12.5, pal",true,,17.02,,,,,Brique ciment,true,pal,,false
,"Brique ciment RAPID 15, pce",true,,1.79,,,,,Brique ciment,true,pce,,false
,"Brique ciment RAPID 15, pal",true,,17.92,,,,,Brique ciment,true,pal,,false
,"Brique ciment RAPID 17.5, pce",true,,1.97,,,,,Brique ciment,true,pce,,false
,"Brique ciment RAPID 17.5, pal",true,,19.66,,,,,Brique ciment,true,pal,,false
,"Brique ciment RAPID 20, pce",true,,2.83,,,,,Brique ciment,true,pce,,false
,"Brique ciment RAPID 20, pal",true,,28.34,,,,,Brique ciment,true,pal,,false
,Brique ciment RAPID 7.5,true,,1.58,,,,,Brique ciment,true,pce,,false
,"Brique coffra ép. 15 cm, 50/25 cm",true,,39.75,,,,,Briques et linteaux,true,pal,,false
,Brique terre cuite ME 10,true,,0.95,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite ME 12.5 pal. 144 pc,true,,1.01,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite ME 15 pal. 112 pc,true,,1.2,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite ME 17.5,true,,1.35,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite ME 20,true,,1.59,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite ME 6,true,,0.75,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite ME 7.5,true,,0.9,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE 10,true,,1.53,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE 12.5 ,true,,1.68,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE 15,true,,1.99,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE 17.5,true,,2.24,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE 6,true,,1.25,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE 7.5,true,,1.43,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE REC 10,true,,1.87,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE REC 12.5,true,,2.02,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE REC 15,true,,2.39,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE REC 17.5,true,,2.68,,,,,Brique terre cuite,true,pce,,false
,Brique terre cuite MXE REC 7.5,true,,1.71,,,,,Brique terre cuite,true,pce,,false
,Canaux schmidt 20/20,true,,136,,,,,Canaux,true,m,,false
,Canaux schmidt 25/25,true,,152,,,,,Canaux,true,m,,false
,Cape C20/20,true,,330,,,,,Cape,true,pce,,false
,Cape C25/25,true,,377,,,,,Cape,true,pce,,false
,Capote Flupp,true,,0.15,,,,,Divers,true,pce,,false
,"Carrelet 80/120mm, long. 4.00 m",true,,13,,,,,Bois,true,pce,,false
,Cermix Cermicol Extra flex blanc sac de 25 kg,true,,31.75,,,,cermix-cermicol-extraflex.gif,Cermix,true,sac,,false
,Cermix Cermicol Extra flex gris sac de 25 kg,true,,17,,,,cermix-cermicol-extraflex.gif,Cermix,true,sac,,false
,Cermix Cermifix HP blanc bidon de 3 kg,true,,4.7,,,,cermix-cermifix-hp-25.jpg,Cermix,true,kg,,false
,Cermix Cermijoint color gris sac de 5 kg,true,,1.34,,,,cermix-cermijoint.jpg,Cermix,true,sac,,false
,Chaux hydratée,true,,10,,,,,Liants / Mortiers,true,sac,,false
,Chaux hydraulique,true,,9.4,,,,,Liants / Mortiers,true,sac,,false
,Ciment blanc,true,,19.7,,,,ciment-blanc.jpg,Liants / Mortiers,true,sac,,false
,Ciment Fondu,true,,42.6,,,,ciment-fondu.jpg,Liants / Mortiers,true,sac,,false
,Ciment Lafarge,true,,35.18,,,,,Liants / Mortiers,true,sac,,false
,"Ciment Portland, sac de 25 kg",true,,5.44,,,,ciment-portland.jpg,Liants / Mortiers,true,sac,,false
,Ciment Prompt,true,,16.8,,,,ciment_prompt.jpg,Liants / Mortiers,true,sac,,false
,"Clous de 70 mm, 2.5kg/pqt",true,,2.64,,,,,Clous,true,pqt,,false
,"Clous de 80 mm, 2.5kg/pqt",true,,2.64,,,,,Clous,true,pqt,,false
,Colier galvanisé Ø 100,true,,4.1,,,,,Galvanisé,true,pce,,false
,Colier galvanisé Ø 125,true,,8,,,,,Galvanisé,true,pce,,false
,Colle brique terre cuite REC,true,,37.1,,,,,Liants / Mortiers,true,sac,,false
,Cône ciment Ø 100/60 cm,true,,155.76,,,,,Cône ciment,true,pce,,false
,Cône ciment Ø 80/60 cm,true,,111.76,,,,,Cône ciment,true,pce,,false
,Coude articulé,true,,0,,,,,Coude PE,true,pce,,false
,Coude PE Ø 100 mm,true,,63.75,,,,,Coude PE,true,pce,,false
,Coude PE Ø 120 mm,true,,84.75,,,,,Coude PE,true,pce,,false
,Coude PE Ø 55 mm,true,,23.85,,,,,Coude PE,true,pce,,false
,Coude PE Ø 60 mm court,true,,43.5,,,,,Coude PE,true,pce,,false
,Coude PE Ø 80 mm,true,,48.75,,,,,Coude PE,true,pce,,false
,Coude PVC ∅ 100mm 15deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,,false
,Coude PVC ∅ 100mm 30deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,,false
,Coude PVC ∅ 100mm 45deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,,false
,Coude PVC ∅ 100mm 87deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,,false
,Coude PVC ∅ 125mm 15deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,,false
,Coude PVC ∅ 125mm 30deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,,false
,Coude PVC ∅ 125mm 45deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,,false
,Coude PVC ∅ 125mm 87deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,,false
,Coude PVC ∅ 150mm 15deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,,false
,Coude PVC ∅ 150mm 30deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,,false
,Coude PVC ∅ 150mm 45deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,,false
,Coude PVC ∅ 150mm 87deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,,false
,Coude PVC ∅ 200mm 15deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,,false
,Coude PVC ∅ 200mm 30deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,,false
,Coude PVC ∅ 200mm 45deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,,false
,Coude PVC ∅ 200mm 87deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,,false
,Coude PVC ∅ 250mm 15deg,true,,25.6,,,,,Coude PVC ∅ 250mm,true,pce,,false
,Coude PVC ∅ 250mm 30deg,true,,25.6,,,,,Coude PVC ∅ 250mm,true,pce,,false
,Coude PVC ∅ 250mm 45deg,true,,25.6,,,,,Coude PVC ∅ 250mm,true,pce,,false
,Coude PVC ∅ 250mm 87deg,true,,25.6,,,,,Coude PVC ∅ 250mm,true,pce,,false
,Coude PVC ∅ 300mm 15deg,true,,41.6,,,,,Coude PVC ∅ 300mm,true,pce,,false
,Coude PVC ∅ 300mm 30deg,true,,41.6,,,,,Coude PVC ∅ 300mm,true,pce,,false
,Coude PVC ∅ 300mm 45deg,true,,41.6,,,,,Coude PVC ∅ 300mm,true,pce,,false
,Coude PVC ∅ 300mm 87deg,true,,41.6,,,,,Coude PVC ∅ 300mm,true,pce,,false
,Couvercle Begu Ø 60 cm 1 to ,true,,68.9,,,,,Couvercle Begu,true,pce,,false
,Couvercle Begu Ø 60 cm 3 to ,true,,75.4,,,,,Couvercle Begu,true,pce,,false
,Couvercle Begu Ø 60 cm 5 to ,true,,105.6,,,,,Couvercle Begu,true,pce,,false
,Couvercle en fonte 1 to Ø 60 cm,true,,132.6,,,,,Couvercle en fonte,true,pce,,false
,"Couvercle en fonte 1 to Ø 60 cm, inodore",true,,168,,,,,Couvercle en fonte,true,pce,,false
,Couvercle en fonte 1 to Ø 80 cm,true,,362.4,,,,,Couvercle en fonte,true,pce,,false
,"Couvercle en fonte 1 to Ø 80 cm, inodore",true,,366,,,,,Couvercle en fonte,true,pce,,false
,Couvercle en fonte 5 to Ø 60 cm,true,,171,,,,,Couvercle en fonte,true,pce,,false
,"Couvercle en fonte 5 to Ø 60 cm, inodore",true,,216,,,,,Couvercle en fonte,true,pce,,false
,Couvercle en fonte 5 to Ø 80 cm,true,,466.8,,,,,Couvercle en fonte,true,pce,,false
,"Couvercle en fonte 5 to Ø 80 cm, inodore",true,,528,,,,,Couvercle en fonte,true,pce,,false
,Dalle de jardin béton lavé sarina 6-12mm gris 50/50 cm,true,,31.61,,,,,Dalle,true,pce,,false
,Dalle de jardin parco fina sablé gris 50/50 cm,true,,31.01,,,,,Dalle,true,pce,,false
,Dalle de jardin parco lisse gris 50/50 cm,true,,31.01,,,,,Dalle,true,pce,,false
,Dalle de jardin sablées provence 50/50 cm,true,,41.99,,,,,Dalle,true,pce,,false
,Delta MS,true,,3.12,,,,delta-ms.gif,Divers,true,m2,,false
,Dinki 30 mm,true,,0.08,,,,,Divers,true,pce,,false
,"EBEA 120/15, L=125 cm",true,,39.02,,,,,EBEA,true,pce,,false
,"EBEA 150/15, L=125 cm",true,,39.79,,,,,EBEA,true,pce,,false
,Echelon pour sortie d'abri,true,,18.6,,,,,Produits ciment,true,pce,,false
,Embranchement Ø 100/100 cm,true,,2.88,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 125/110 cm,true,,3.52,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 125/125 cm,true,,3.84,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 150/110 cm,true,,4.8,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 150/125 cm,true,,5.12,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 150/150 cm,true,,5.76,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 200/110 cm,true,,9.28,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 200/125 cm,true,,9.6,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 200/150 cm,true,,9.92,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 200/200 cm,true,,12.48,,,,,Embranchement PVC,true,pce,,false
,Embranchement Ø 250/250 cm,true,,60.16,,,,,Embranchement PVC,true,pce,,false
,Ferrofix 30mm (paquet de 100m),true,,0.31,,,,ferrofix-30mm.jpg,Divers,true,pqt,,false
,FI RIPA 130N,true,,9.9,,,,,FI RIPA,true,m,,false
,FI RIPA 140M,true,,18.11,,,,,FI RIPA,true,m,,false
,FI RIPA 140V,true,,22.53,,,,,FI RIPA,true,m,,false
,FI RIPA 180N,true,,9.9,,,,,FI RIPA,true,m,,false
,FI RIPA 240S,true,,33.66,,,,,FI RIPA,true,m,,false
,FI RIPA 90N,true,,9.9,,,,,FI RIPA,true,m,,false
,"Filtrapor, panneau filtrant, ép. 8 cm",true,,12.95,,,,,Gonon,true,m2,,false
,Fixation universelle 0/6-10 galv.,true,,43.45,,,,,Produits ciment,true,pce,,false
,Fixation universelle petite,true,,27.23,,,,,Produits ciment,true,pce,,false
,Fixit 140 enduit lisse sac de 30 kg,true,,19.47,,,,fixit-140.jpg,Fixit,true,sac,,false
,Fixit 140 plâtre int. sac de 30 kg,true,,15.56,,,,fixit-140.jpg,Fixit,true,sac,,false
,Fixit 400 lissage plâtre sac de 20 kg,true,,50.24,,,,fixit-400.jpg,Fixit,true,sac,,false
,Fixit 983 mortier à maçonner,true,,15.56,,,,,Fixit,true,sac,,false
,"Géotextile larg. 100 cm, long. 100 m",true,,0.7,,,,,Géotextile,true,m2,,false
,Géotextile larg. 400 cm,true,,0.7,,,,,Géotextile,true,m2,,false
,golsodrain 102x60x100,true,,29.9,,,,,Gonon,true,pce,,false
,goMaxiDrain S 125x60x50cm,true,,14,,,,,Gonon,true,pce,,false
,Gonon bandes de rive 120/8 mm go-pe,true,,0.36,,,,,Gonon,true,m,,false
,Gonon bandes de rive 150/8 mm go-pe,true,,0.45,,,,,Gonon,true,m,,false
,"gopaletti rouleau F20 800x100, ép. 20 mm",true,,3.3,,,,gopaletti-f20.jpg,Gonon,true,m2,,false
,goplan G bleu 100x50x14 cm,true,,28,,,,goplan-g-bleu.jpg,Gonon,true,pce,,false
,goplan G bleu 100x50x4 cm,true,,8,,,,goplan-g-bleu.jpg,Gonon,true,pce,,false
,goplan xps drain ép. 120+10 mm,true,,44.8,,,,goplan-xpsdrain.jpg,Gonon,true,pce,,false
,Gopor F15 ép. 10 mm 0.5m2/pl 50/100cm,true,,0.85,,,,gopor-f15.jpg,Gonon,true,pce,,false
,Gopor F15 ép. 100 mm 0.5m2/pl 50/100cm,true,,8.5,,,,,Gonon,true,pce,,false
,Gopor F15 ép. 150 mm 0.5m2/pl 50/100cm,true,,12.75,,,,,Gonon,true,pce,,false
,Gopor F15 ép. 20 mm 0.5m2/pl 50/100cm,true,,1.7,,,,,Gonon,true,pce,,false
,Gopor F30 ép. 30 mm 0.5m2/pl 50/100cm,true,,3.75,,,,,Gonon,true,pce,,false
,Gopor F30 ép. 40 mm 0.5m2/pl 50/100cm,true,,5,,,,,Gonon,true,pce,,false
,Gopor F30 ép. 50 mm 0.5m2/pl 50/100cm,true,,6.25,,,,,Gonon,true,pce,,false
,goroll t/se alukraft-pe ép. 22/20mm,true,,4.76,,,,goroll-alukraft.jpg,Gonon,true,m2,,false
,Goroll-t/se bandes de rive 120/8 mm,true,,0.86,,,,,Gonon,true,m,,false
,Goujons + gaine,true,,0,,,,,Aciers,true,pce,,false
,Granol 25  20 kg 21 s/pal.,true,,26.51,,,,,Granol,true,sac,,false
,Granol 270 30 kg 28s/pal,true,,10.43,,,,granol-270.png,Granol,true,sac,,false
,Granol 29 30 kg 28 s/pal.,true,,10.29,,,,granol-29.png,Granol,true,sac,,false
,Granol 300 30 kg 28s/pal.,true,,24.11,,,,granol-300.png,Granol,true,sac,,false
,Granol 303 40 kg 21 s/pal.,true,,34.78,,,,granol-303.png,Granol,true,sac,,false
,Granol 352 40 kg  24s/pal.,true,,10.62,,,,granol-352.png,Granol,true,sac,,false
,Granol 420  30 kg 21s/pal.,true,,25.8,,,,granol-420.png,Granol,true,sac,,false
