id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock,manual_allowed
,Granol 900 30 kg 21 s/pal,true,,12.97,,,,granol-900.png,Granol,true,sac,,false
,Granol Sonogrand 2000,true,,54.99,,,,granol-2000.png,Granol,true,sac,,false
,Granolin 12 lt ,true,,10.06,,,,granolin.png,Granol,true,litre,,false
,Grave I 0/63,true,,41,,,,,Sables et graviers,true,m3,,true
,Grave II 0/60,true,,29,,,,,Sables et graviers,true,m3,,true
,Gravier à béton 0-32,true,,44,,,,,Sables et graviers,true,m3,,true
,Gravier à béton 0-33,true,,6,,,,,Sables et graviers,true,br,,true
,Gravillon 16/32,true,,46,,,,,Sables et graviers,true,m3,,true
,Gravillon 32/50,true,,44,,,,,Sables et graviers,true,m3,,true
,Gravillon 4/8,true,,45,,,,,Sables et graviers,true,m3,,true
,Gravillon 8/16,true,,45,,,,,Sables et graviers,true,m3,,true
,Grille anti-mouche alu Ø 125 mm,true,,14.82,,,,,Grille diverses,true,pce,,false
,Grille anti-mouche alu Ø 150 mm,true,,22.07,,,,,Grille diverses,true,pce,,false
,Grille siphoïde 15/15 cm,true,,32.76,,,,,Grille diverses,true,pce,,false
,GV3,true,,7.5,,,,,Divers,true,m2,,false
,Huile de coffrage,true,,2.34,,,,,Divers,true,litre,,false
,"Isogran 25 enduit calorifuge, sac de 15 kg",true,,26.09,,,,isogran-25.png,Liants / Mortiers,true,sac,,false
,"Jackodur KF 300 gaufré GL, 40 mm",true,,12.03,,,,,Isolation,true,pce,,false
,Kalkogrand 170 30 kg 28 s/pal.,true,,11.28,,,,kalkogran-170.png,Liants / Mortiers,true,sac,,false
,"Kerakoll H40 tenax gris, sac de 25 kg",true,,1.22,,,,,Kerakoll,true,kg,,false
,Kerakoll idrobuild osmocem sac de 25 kg,true,,1.2,,,,kerakoll-osmocem.jpg,Kerakoll,true,kg,,false
,Kerakoll kerabuild R3 tixo sac de 25 kg,true,,0.93,,,,,Kerakoll,true,kg,,false
,Kerakoll kerabuild R4 anchor sac de 25 kg,true,,0.89,,,,,Kerakoll,true,kg,,false
,"Kerakoll rekord pronto p. chape, sac de 30 kg",true,,0.55,,,,,Kerakoll,true,kg,,false
,Kerakoll unikorikrea sac de 25 kg,true,,1.28,,,,,Kerakoll,true,kg,,false
,"Lambourde 27/60mm, long, 4.00 m",true,,0.7,,,,,Bois,true,m,,false
,Lampocem 25 kg,true,,21.25,,,,Lampocem_25kg.jpg,Liants / Mortiers,true,sac,,false
,Lamposilex 5 kg,true,,24.5,,,,lamposilex.jpg,Liants / Mortiers,true,sac,,false
,"Latte à tuile 27/40mm, long. 4.00 m",true,,0.5,,,,latte-tuile.jpg,Bois,true,m,,false
,Ligature 12 cm,true,,3.55,,,,,Ligature,true,pqt,,false
,Ligature 14 cm,true,,4.75,,,,,Ligature,true,pqt,,false
,Ligature 16 cm,true,,5.3,,,,,Ligature,true,pqt,,false
,Limon,true,,30,,,,,Sables et graviers,true,m3,,true
,Linteau ciment larg. 10,true,,15.86,,,,,Linteau ciment,true,m,,false
,Linteau ciment larg. 12,true,,18.53,,,,,Linteau ciment,true,m,,false
,Linteau ciment larg. 15,true,,23.85,,,,,Linteau ciment,true,m,,false
,Linteau ciment larg. 17.5,true,,27.3,,,,,Linteau ciment,true,m,,false
,Linteau plat YTONG plat 12.5x12.5x100 cm,true,,32.3,,,,,Linteau plat,true,m,,false
,Linteau plat YTONG plat 15x12.5x100 cm,true,,36.55,,,,,Linteau plat,true,m,,false
,Linteau terre cuite stalthon larg. 10,true,,12.48,,,,,Linteau terre cuite,true,m,,false
,Linteau terre cuite stalthon larg. 12,true,,14.82,,,,,Linteau terre cuite,true,m,,false
,Linteau terre cuite stalthon larg. 15,true,,18.01,,,,,Linteau terre cuite,true,m,,false
,Linteau terre cuite stalthon larg. 17.5,true,,20.48,,,,,Linteau terre cuite,true,m,,false
,Linteau terre cuite stalthon larg. 7.5,true,,15.85,,,,,Linteau terre cuite,true,m,,false
,Manchon PE Ø 100 mm,true,,11.61,,,,,Manchon PE,true,pce,,false
,Manchon PE Ø 120 mm,true,,13.23,,,,,Manchon PE,true,pce,,false
,Manchon PE Ø 55 mm,true,,5.9,,,,,Manchon PE,true,pce,,false
,Manchon PE Ø 60 mm,true,,7.56,,,,,Manchon PE,true,pce,,false
,Manchon PE Ø 80 mm,true,,9.09,,,,,Manchon PE,true,pce,,false
,Manchon PVC Ø 100 cm,true,,1.31,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 125 cm,true,,1.92,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 150 cm,true,,2.75,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 200 cm,true,,5.5,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 250 cm,true,,15.68,,,,,Manchon PVC,true,pce,,false
,Manchon PVC Ø 300 cm,true,,24.32,,,,,Manchon PVC,true,pce,,false
,MAPEBAND bande d'étanchéité 150/1,true,,5.9,,,,,Mapeband,true,m,,false
,MAPEBAND bande d'étanchéité 200/1,true,,7.07,,,,,Mapeband,true,m,,false
,Mapegrout rapid mortier fibre sac de 25 kg,true,,30.18,,,,,Liants / Mortiers,true,sac,,false
,Mapei keraflex gris sac de 25 kg,true,,19,,,,,Colle carrelages,true,sac,,false
,Marches d'escalier L parco 100/40/15 cm grise talochée,true,,51.2,,,,,Escalier,true,pce,,false
,"Marches d'escalier L parco 100/40/15 cm sablé, gris",true,,72.8,,,,,Escalier,true,pce,,false
,"Marmoran ISO  mortier KK70, sac de 30 kg",true,,56.4,,,,,Liants / Mortiers,true,sac,,false
,Masterflex-3000 larg. 20 cm,true,,8.52,,,,masterflex-3000.jpg,Étanchéité,true,m,,false
,Masterflow 928,true,,36.1,,,,masterflow928.jpg,Liants / Mortiers,true,sac,,false
,"Masterflow 980 mortier de scellement, sac de 25 kg",true,,36.1,,,,masterflow980.jpg,Liants / Mortiers,true,sac,,false
,Mortier,true,,11,,,,,Mortiers et bétons frais,true,br,,false
,Mousse de montage sika,true,,11.65,,,,,Divers,true,pce,,false
,"Multiline V100 drainlock cadre acier, l=100 cm",true,,68.8,,,,,Multiline,true,pce,,false
,"Multiline V100 grille caillebotis B125, l=100 cm",true,,42.4,,,,,Multiline,true,pce,,false
,Multiline V100 plaque frontale combi,true,,18.4,,,,,Multiline,true,pce,,false
,Multiline V100 plaque frontale sortie,true,,31.2,,,,,Multiline,true,pce,,false
,Paniers de supports H=13 cm,true,,2.59,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=15 cm,true,,2.59,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=17 cm,true,,2.91,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=18 cm,true,,2.85,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=20 cm,true,,2.64,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=22 cm,true,,4.2,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=30 cm,true,,4.28,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=40 cm,true,,5.72,,,,,Paniers de supports,true,pce,,false
,Paniers de supports H=8 cm,true,,2.36,,,,,Paniers de supports,true,pce,,false
,"Panneau de coffrage, 27mm, ",true,,18,,,,,Bois,true,m2,,false
,Panneau de socle en XPS jaune 125x60x14 cm,true,,32.2,,,,,Isolation,true,pce,,false
,Panneau ISOVER PBM 035 40 mm,true,,5.53,,,,isover-pbm-035.jpg,Isolation,true,pce,,false
,"Panneau ISOVER PBM 2 a. papier, 80 mm",true,,11.05,,,,,Isolation,true,pce,,false
,"Pavé en béton chanfreiné carena ép. 8 cm 25/25, anthracite",true,,33.8,,,,,Pavé,true,pce,,false
,"Pavé en béton chanfreiné carena ép. 8 cm 25/25, gris",true,,29.19,,,,,Pavé,true,pce,,false
,"Pavé en béton classic, ép. 6 cm, 20/10 cm, gris",true,,23.1,,,,,Pavé,true,pce,,false
,"Pavé en béton classic, ép. 6 cm, 20/20 cm, gris",true,,23.1,,,,,Pavé,true,pce,,false
,Pavé granit 11/13,true,,263.5,,,,,Pavé,true,pce,,false
,PCI gisogrund 1819 primaire et couche de fond emb. de 5l,true,,12.66,,,,,Colle carrelages,true,litre,,false
,"Planche 27mm, brute ",true,,1.85,,,,,Bois,true,m,,false
,"Planche 27mm, rabottée",true,,2.1,,,,,Bois,true,m,,false
,Plastique 18kg/rlx = 100 m2,true,,0.55,,,,,Divers,true,rlx,,false
,"Plateau 50/300mm, long. 4.00m",true,,19.2,,,,,Bois,true,pce,,false
,Prestocem  sac de 25 kg,true,,11.7,,,,prestocem.jpg,Liants / Mortiers,true,sac,,false
,"Pronouvo ép. 5 mm, larg. 120mm",true,,5.27,,,,,Pronouvo,true,m,,false
,"Pronouvo ép. 5 mm, larg. 150mm",true,,6.63,,,,,Pronouvo,true,m,,false
,PV pour 4 battues AK-80,true,,3.51,,,,,SW,true,m2,,false
,PV pour 4 battues AK-80,true,,3.96,,,,,HS,true,m2,,false
,Raccord PVC/ciment Ø 150/125mm,true,,22.5,,,,,Raccord PVC/ciment,true,pce,,false
,Raccord PVC/ciment Ø 150/150mm,true,,32,,,,,Raccord PVC/ciment,true,pce,,false
,Raccord PVC/ciment Ø 200/150mm,true,,50.5,,,,,Raccord PVC/ciment,true,pce,,false
,"Rail Schlüter alu eloxe de 2.5 m, AE 80, 8mm",true,,1.19,,,,,Colle carrelages,true,m,,false
,"Rail Schlüter E100, 10mm",true,,12.65,,,,,Colle carrelages,true,m,,false
,Réduction PVC Ø 125/100 cm,true,,1.28,,,,,Réduction PVC,true,pce,,false
,Réduction PVC Ø 150/100 cm,true,,1.82,,,,,Réduction PVC,true,pce,,false
,Réduction PVC Ø 150/125 cm,true,,2.3,,,,,Réduction PVC,true,pce,,false
,Réduction PVC Ø 200/125 cm,true,,5.44,,,,,Réduction PVC,true,pce,,false
,Réduction PVC Ø 200/150 cm,true,,4.03,,,,,Réduction PVC,true,pce,,false
,Réduction PVC Ø 250/150 cm,true,,21.12,,,,,Réduction PVC,true,pce,,false
,Rivalcoll unités de 2 kg,true,,20.82,,,,,Rivalcoll,true,kg,,false
,Rivalcoll unités de 6 kg,true,,16.46,,,,,Rivalcoll,true,kg,,false
,"Sabajoint 5x19 mm, L=25cm (25m/rouleau)",true,,0.32,,,,,Divers,true,m,,false
,Sable de quartz 0.4 - 0.8 mm sac de 25 kg,true,,7.1,,,,,Liants / Mortiers,true,sac,,false
,Sable lavé à la brouette,true,,5,,,,,Sables et graviers,true,br,,true
,Sable lavé au m³,true,,33,,,,,Sables et graviers,true,m3,,true
,Sakret,true,,22.05,,,,sakret.png,Liants / Mortiers,true,sac,,false
,"SAM griffes béton propre, larg. 15 cm",true,,0.68,,,,,SAM griffes béton,true,pqt,,false
,"SAM griffes béton propre, larg. 18 cm",true,,0.7,,,,,SAM griffes béton,true,pqt,,false
,"SAM griffes béton propre, larg. 20 cm",true,,0.73,,,,,SAM griffes béton,true,pqt,,false
,"SAM griffes béton propre, larg. 25 cm",true,,0.8,,,,,SAM griffes béton,true,pqt,,false
,"SAM griffes normal, larg. 18 cm",true,,0.49,,,,,SAM griffes normal,true,pqt,,false
,"SAM griffes normal, larg. 20 cm",true,,0.51,,,,,SAM griffes normal,true,pqt,,false
,"SAM griffes normal, larg. 25 cm",true,,0.54,,,,,SAM griffes normal,true,pqt,,false
,"SAM griffes normal, larg. 30 cm",true,,0.66,,,,,SAM griffes normal,true,pqt,,false
,"SAM griffes normal, larg. 35 cm",true,,0.7,,,,,SAM griffes normal,true,pqt,,false
,Saut de loup armé 140/80cm H=150cm,true,,415.25,,,,,Saut de loup,true,pce,,false
,Saut de loup armé 210/80cm H=100cm,true,,409.75,,,,,Saut de loup,true,pce,,false
,Saut de loup armé 210/80cm H=50cm,true,,308,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 100/60cm H=100cm,true,,212.3,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 100/60cm H=125cm,true,,233.75,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 100/60cm H=75cm,true,,154.55,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 120/60cm H=125cm,true,,252.45,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 120/60cm H=150cm,true,,327.25,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 140/60cm H=150cm,true,,360.25,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 140/60cm H=20cm,true,,156.75,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 80/60cm H=125cm,true,,211.2,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 80/60cm H=150cm,true,,246.4,,,,,Saut de loup,true,pce,,false
,Saut de loup non abri 80/60cm H=20cm,true,,117.15,,,,,Saut de loup,true,pce,,false
,scotch,true,,5,,,,scotch.jpg,Divers,true,pce,,false
,silicone,true,,6,,,,,Divers,true,pce,,false
,"Sortie de secours Ø 100 cm, rond",true,,546,,,,,Produits ciment,true,pce,,false
,Spray de marquage,true,,7.84,,,,spray-marquage.jpg,Divers,true,pce,,false
,Styrodur 2800 XPS ép. 20 mm 60/125,true,,6,,,,,Styrodur,true,pce,,false
,Styrodur 2800 XPS ép. 30 mm 60/125,true,,7,,,,,Styrodur,true,pce,,false
,Styrodur 2800 XPS ép. 40 mm 60/125,true,,8,,,,,Styrodur,true,pce,,false
,Styrodur 2800 XPS ép. 50 mm 60/125,true,,10,,,,,Styrodur,true,pce,,false
,Styrodur 2800 XPS ép. 60 mm 60/125,true,,12,,,,,Styrodur,true,pce,,false
,Styrodur 3035 CS XPS R ép. 50 mm 60/125,true,,10,,,,,Styrodur,true,pce,,false
,"Styrofoam, ép. 80 mm, 60/125",true,,27.7,,,,,Styrodur,true,pce,,false
,Tilca tampon plaque isolation IP 80,true,,0.26,,,,,Isolation,true,pce,,false
,Treillis B 335 (5.34 kg/m2),true,,1.19,,,,,Treillis,true,pce,,false
,"Treillis d'armature marmoran, 50m2/rlx",true,,3.4,,,,,Liants / Mortiers,true,m2,,false
,Treillis K 131 (2.10 kg/m2),true,,0.96,,,,,Treillis,true,pce,,false
,Treillis K 188 (3.02 kg/m2),true,,1.17,,,,,Treillis,true,pce,,false
,Treillis K 335 (5.37 kg/m2),true,,1.13,,,,,Treillis,true,pce,,false
,Tube ciment Ø 100 cm,true,,113.08,,,,,Tube ciment,true,pce,,false
,"Tube ciment Ø 100 cm, avec fond",true,,195.36,,,,,Tube ciment,true,pce,,false
,Tube ciment Ø 30 cm,true,,22,,,,,Tube ciment,true,pce,,false
,Tube ciment Ø 40 cm,true,,33.88,,,,,Tube ciment,true,pce,,false
,Tube ciment Ø 50 cm,true,,41.8,,,,,Tube ciment,true,pce,,false
,Tube ciment Ø 60 cm,true,,51.04,,,,,Tube ciment,true,pce,,false
,Tube ciment Ø 80 cm,true,,76.12,,,,,Tube ciment,true,pce,,false
,Tube distanceur Dridu 18 cm,true,,0.3,,,,,Tube distanceur,true,pce,,true
,Tube distanceur Dridu 20 cm,true,,0.3,,,,,Tube distanceur,true,pce,,true
,Tube distanceur Dridu 25 cm,true,,0.35,,,,,Tube distanceur,true,pce,,true
,Tube distanceur Dridu 30 cm,true,,0.38,,,,,Tube distanceur,true,pce,,true
,Tuyau ciment Ø 100 cm,true,,163.68,,,,,Tuyau ciment,true,pce,,false
,Tuyau ciment Ø 30 cm,true,,29.04,,,,,Tuyau ciment,true,pce,,false
,Tuyau ciment Ø 40 cm,true,,41.36,,,,,Tuyau ciment,true,pce,,false
,Tuyau ciment Ø 50 cm,true,,59.84,,,,,Tuyau ciment,true,pce,,false
,Tuyau ciment Ø 60 cm,true,,75.24,,,,,Tuyau ciment,true,pce,,false
,Tuyau ciment Ø 80 cm,true,,106.92,,,,,Tuyau ciment,true,pce,,false
,Tuyau PE Ø 100/112 mm,true,,4.33,,,,,Tuyau PE,true,m,,false
,Tuyau PE Ø 120/132 mm,true,,5.1,,,,,Tuyau PE,true,m,,false
,Tuyau PE Ø 55 mm,true,,2.35,,,,,Tuyau PE,true,m,,false
,Tuyau PE Ø 60/72 mm,true,,2.84,,,,,Tuyau PE,true,m,,false
,Tuyau PE Ø 80/92 mm,true,,3.67,,,,,Tuyau PE,true,m,,false
,Tuyau PVC Ø 100 cm,true,,3.14,,,,,Tuyau PVC,true,m,,false
,Tuyau PVC Ø 125 cm,true,,3.6,,,,,Tuyau PVC,true,m,,false
,Tuyau PVC Ø 150 cm,true,,4.54,,,,,Tuyau PVC,true,m,,false
,Tuyau PVC Ø 200 cm,true,,6.48,,,,,Tuyau PVC,true,m,,false
,Tuyau PVC Ø 250 cm,true,,11.42,,,,,Tuyau PVC,true,m,,false
,Tuyau PVC Ø 300 cm,true,,18.54,,,,,Tuyau PVC,true,m,,false
,Tuyau PVC perforé Ø 100 cm,true,,3.4,,,,,Tuyau PVC perforé,true,m,,false
,Tuyau PVC perforé Ø 125 cm,true,,3.88,,,,,Tuyau PVC perforé,true,m,,false
,Tuyau PVC perforé Ø 150 cm,true,,4.92,,,,,Tuyau PVC perforé,true,m,,false
,TV concassé jaune 0/16,true,,39,,,,,Sables et graviers,true,m3,,true
,TV concassé jaune 0/32,true,,39,,,,,Sables et graviers,true,m3,,true
,TV recyclé 0/63,true,,24,,,,,Sables et graviers,true,m3,,true
,Unitex-HS/3 ép. 150 mm 200/60 cm,true,,40.35,,,,,HS,true,pce,,false
,Unitex-SW/3 ép. 100 mm 200/60 cm,true,,40.85,,,,,SW,true,pce,,false
,V60,true,,3.32,,,,,Divers,true,rlx,,false
,Ytong armyt 10 50m1/rlx,true,,60.35,,,,,YTONG,true,rlx,,false
,Ytong armyt 23 50m1/rlx,true,,110.5,,,,,YTONG,true,rlx,,false
,Ytong bloc chaînage 30x25x62.5 cm,true,,43.2,,,,,YTONG,true,m,,false
,Ytong bloc d'embrasure P 30x25x62.5 cm,true,,91.2,,,,ytong-bloc-embrasure.jpg,YTONG,true,pce,,false
,Ytong équerre d'ancrage,true,,4.25,,,,,YTONG,true,pce,,false
,Ytong mortier-colle  isolant sac de 18 kg,true,,14.45,,,,,Liants / Mortiers,true,sac,,false
,Ytong mortier-colle au kg,true,,1.5,,,,ytong-mortier-colle.jpg,Liants / Mortiers,true,kg,,false
,Ytong mortier-colle sac de 14.5 kg,true,,21.68,,,,ytong-mortier-colle.jpg,Liants / Mortiers,true,sac,,false
,YTONG P 12.5x25x62.5 cm,true,,39.2,,,,,YTONG,true,pce,,false
,YTONG P 15x25x62.5 cm,true,,40,,,,,YTONG,true,pce,,false
,YTONG P Superthermo P ép. 12.5 cm,true,,39.2,,,,,YTONG,true,pce,,false
,"YTONG P Superthermo P ép. 17.5 cm, 6.56 pce/m2",true,,41.6,,,,,YTONG,true,pce,,false
,YTONG P Superthermo P ép. 25 cm,true,,57.6,,,,,YTONG,true,pce,,false
,Ytong renova 10x37.5x62.5cm,true,,34.4,,,,,YTONG,true,pce,,false
,Ytong tête de dalle PL 10x22x62.5 cm,true,,13.2,,,,ytong-tete-dalle.jpg,YTONG,true,m,,false
,Ytong Thermobloc 09 30x25x62.5 cm,true,,80.8,,,,Ytong_Thermobloc.jpg,YTONG,true,m2,,false
